time	pelvis_imu	femur_r_imu	tibia_r_imu
17.685	-88.010000,-73.490000,0.000000	-28.740000,-81.320000,0.000000	89.240000,16.570000,0.000000
17.819	-86.610000,-73.460000,0.000000	-28.310000,-81.610000,0.000000	89.150000,18.130000,0.000000
17.939	-85.290000,-73.410000,0.000000	-27.740000,-81.940000,0.000000	88.500000,19.000000,0.000000
18.074	-84.860000,-73.350000,0.000000	-27.200000,-82.030000,0.000000	88.370000,19.770000,0.000000
18.210	-84.320000,-73.380000,0.000000	-24.950000,-82.250000,0.000000	87.870000,20.600000,0.000000
18.330	-84.010000,-73.390000,0.000000	-23.040000,-82.370000,0.000000	87.010000,20.840000,0.000000
18.464	-83.660000,-73.510000,0.000000	-20.610000,-82.490000,0.000000	86.360000,21.380000,0.000000
18.599	-83.600000,-73.730000,0.000000	-17.620000,-82.400000,0.000000	85.540000,21.820000,0.000000
18.719	-82.720000,-73.610000,0.000000	-14.540000,-82.460000,0.000000	85.340000,21.990000,0.000000
18.854	-82.060000,-73.760000,0.000000	-12.020000,-82.540000,0.000000	85.340000,21.800000,0.000000
18.989	-81.800000,-73.740000,0.000000	-10.100000,-82.570000,0.000000	85.030000,21.800000,0.000000
19.109	-81.470000,-73.500000,0.000000	-8.090000,-82.680000,0.000000	85.050000,21.810000,0.000000
19.244	-81.310000,-73.450000,0.000000	-5.910000,-82.560000,0.000000	84.820000,21.460000,0.000000
19.380	-80.620000,-73.350000,0.000000	-3.050000,-82.500000,0.000000	84.490000,20.760000,0.000000
19.499	-79.960000,-73.300000,0.000000	0.460000,-82.250000,0.000000	84.300000,20.050000,0.000000
19.634	-79.430000,-73.280000,0.000000	3.760000,-81.960000,0.000000	84.110000,19.730000,0.000000
19.770	-78.990000,-72.740000,0.000000	7.110000,-81.840000,0.000000	84.160000,19.310000,0.000000
19.889	-78.180000,-72.780000,0.000000	9.560000,-81.700000,0.000000	84.200000,18.730000,0.000000
20.025	-77.750000,-72.830000,0.000000	11.610000,-81.680000,0.000000	84.400000,18.480000,0.000000
20.159	-77.340000,-72.960000,0.000000	14.590000,-81.560000,0.000000	84.510000,17.990000,0.000000
20.279	-77.350000,-73.120000,0.000000	15.630000,-81.470000,0.000000	84.480000,17.530000,0.000000
